crop,N,P,K,temperature,humidity,ph,rainfall,yield
Mothbeans,23.01,63.91,23.58,27.94,46.7,6.64,58.14,0.96
Banana,161.71,112.91,300.68,25.73,77.53,6.11,117.8,50.27
Mango,189.53,132.62,181.48,37.06,57.68,5.79,103.13,10.74
Coconut,25.46,17.71,27.82,25.86,88.3,5.86,134.58,11.7
Coconut,23.28,14.76,26.55,27.08,100.0,6.2,216.18,12.81
Jute,50.82,44.86,67.18,21.08,71.33,6.75,134.48,2.9
Rice,87.76,45.27,37.07,23.2,88.39,6.4,258.13,4.14
Mungbean,16.3,44.47,21.02,27.35,100.0,6.45,60.5,0.86
Blackgram,14.6,59.97,16.77,28.44,64.62,7.01,62.27,0.98
Papaya,162.87,131.07,110.49,34.51,94.37,7.08,131.4,59.48
Coconut,25.8,18.3,30.17,26.17,92.47,6.06,201.25,10.9
Pomegranate,117.0,48.2,56.31,21.5,88.86,6.27,92.01,18.05
Watermelon,77.66,53.22,52.54,28.66,92.17,7.22,28.7,34.87
Rice,68.49,44.06,38.7,31.63,94.97,7.31,157.66,3.78
Orange,105.38,57.25,80.06,20.45,90.29,5.81,134.37,18.12
Blackgram,15.43,56.47,20.06,26.57,71.08,7.89,64.17,1.29
Mungbean,16.42,46.27,17.79,24.76,80.5,6.84,60.19,1.25
Coconut,29.11,17.59,29.21,28.72,85.58,5.45,217.21,12.09
Watermelon,85.17,58.39,43.47,20.9,100.0,6.57,43.69,34.76
Kidneybeans,22.65,73.7,17.42,17.32,15.11,5.3,94.55,1.29
Kidneybeans,18.87,54.44,18.98,18.83,11.2,6.58,155.75,1.34
Orange,115.06,62.15,73.69,21.23,96.98,7.84,110.89,19.56
Lentil,12.83,54.79,22.43,20.02,57.13,5.8,43.6,1.11
Chickpea,36.93,75.66,70.0,19.68,34.32,7.24,109.49,2.46
Mango,142.15,104.6,142.45,32.69,46.67,5.43,77.0,11.11
Orange,125.64,54.61,82.62,20.47,100.0,6.95,80.81,18.76
Jute,60.87,48.65,66.98,19.54,61.47,6.87,146.15,3.06
Coffee,103.77,84.7,74.45,26.05,70.8,5.99,155.5,1.26
Pigeonpeas,21.4,70.72,18.11,26.15,37.45,6.43,176.09,1.52
Coconut,22.04,19.16,25.41,25.92,81.32,5.36,184.37,12.41
Orange,109.49,44.71,106.73,16.52,83.78,7.5,88.65,17.79
Mango,175.01,109.16,181.99,36.72,57.78,5.94,104.73,11.0
Mango,158.48,112.87,163.55,35.54,59.8,5.62,94.1,11.39
Lentil,16.81,68.02,15.04,26.12,72.21,7.26,28.83,1.13
Maize,126.25,61.11,47.27,25.28,59.19,6.57,51.92,4.99
Pomegranate,87.82,39.93,61.29,22.94,100.0,6.73,111.8,18.76
Muskmelon,92.94,55.69,59.76,23.2,100.0,6.31,30.83,25.75
Mango,127.25,121.52,151.23,32.92,41.15,6.21,119.36,11.16
Jute,56.73,56.2,56.8,28.47,80.19,7.01,208.93,2.92
Watermelon,86.03,52.96,46.89,28.79,83.45,6.61,61.44,36.99
Orange,115.63,57.67,83.99,26.9,78.07,6.95,71.89,15.67
Watermelon,61.07,45.93,49.32,25.87,77.87,6.74,60.88,31.0
Watermelon,93.69,52.58,52.7,29.0,99.14,5.7,50.63,30.99
Mothbeans,24.12,50.04,13.72,29.78,47.18,6.63,35.26,0.9
Coffee,141.18,95.49,96.95,26.57,61.32,7.43,172.64,1.46
Rice,112.09,37.11,32.48,25.38,92.63,6.63,156.66,3.57
Muskmelon,67.3,45.45,42.3,31.47,84.38,5.84,21.08,23.16
Orange,114.54,60.87,70.61,25.99,79.73,7.24,88.01,14.73
Papaya,144.39,101.53,133.74,32.32,86.88,6.69,101.52,45.38
Jute,44.4,37.17,69.71,22.53,91.76,6.89,151.32,3.05
Pomegranate,111.8,45.88,55.56,26.38,100.0,6.48,113.38,21.42
Coffee,127.77,98.69,80.64,18.95,59.55,7.3,190.58,1.31
Apple,99.67,58.61,51.86,23.07,100.0,5.7,164.94,28.45
Apple,94.83,68.06,60.23,23.51,82.52,6.51,98.77,32.69
Orange,118.22,72.15,87.64,22.55,100.0,7.56,120.27,19.22
Grapes,117.13,61.68,118.9,26.47,77.2,5.68,69.72,22.04
Watermelon,56.02,60.26,51.43,27.87,65.17,6.54,52.34,30.37
Cotton,80.39,38.21,50.93,26.64,80.05,7.82,202.65,2.34
Jute,47.52,38.09,76.17,23.27,67.15,5.81,164.04,2.7
Papaya,219.36,102.61,184.76,32.36,97.04,6.63,185.66,63.59
Rice,82.49,56.42,39.92,19.13,88.49,5.39,209.36,3.2
Orange,98.3,73.68,77.34,19.3,91.08,6.78,109.41,18.22
Chickpea,45.83,59.8,62.8,15.31,32.71,7.16,94.35,2.24
Coffee,118.84,79.33,74.15,20.68,50.22,5.91,145.57,1.38
Jute,60.1,39.22,73.84,24.17,71.84,7.07,144.27,2.67
Rice,96.39,42.05,35.39,22.62,87.45,7.14,218.98,3.19
Mothbeans,22.45,51.36,19.33,27.82,68.63,7.21,50.39,0.89
Mothbeans,21.64,45.39,21.86,32.0,54.75,6.64,70.62,1.01
Muskmelon,78.69,57.37,43.23,31.05,95.35,6.61,25.67,25.77
Kidneybeans,14.59,53.46,13.55,19.4,30.5,6.39,103.76,1.14
Pigeonpeas,22.4,73.24,23.9,25.39,48.98,4.8,168.64,1.49
Chickpea,30.18,68.74,80.33,16.69,11.52,7.35,87.36,2.17
Papaya,174.28,128.34,143.11,32.27,97.34,5.71,154.68,55.57
Mango,144.29,121.54,170.9,30.81,38.87,5.25,132.29,9.48
Banana,224.9,100.71,305.73,31.58,88.13,6.03,101.17,45.91
Coffee,134.83,78.57,78.39,24.01,54.16,6.57,123.01,1.51
Mungbean,20.35,55.2,22.02,26.44,91.08,6.01,48.92,0.99
Coffee,141.9,82.25,87.72,24.02,52.47,6.54,126.83,1.28
Apple,110.78,73.19,50.77,21.95,89.32,5.54,74.09,34.31
Banana,272.66,68.0,324.3,26.53,72.98,5.87,107.4,50.32
Jute,54.44,32.8,47.73,24.8,80.15,7.24,161.07,2.71
Lentil,16.59,56.31,20.54,24.53,81.98,6.71,47.8,1.23
Grapes,148.46,70.33,95.2,22.32,92.68,5.14,80.35,26.74
Watermelon,96.55,41.78,47.14,27.59,99.57,6.93,29.75,34.31
Mothbeans,19.52,46.87,18.03,23.17,54.98,7.05,57.03,0.96
Grapes,164.82,47.54,88.58,23.71,72.3,6.2,87.13,22.55
Lentil,15.49,71.41,18.58,31.16,56.32,6.56,44.68,1.36
Mungbean,19.99,45.28,21.71,27.68,74.37,6.56,46.39,1.12
Mungbean,13.77,35.96,21.36,24.05,84.24,6.32,36.01,0.83
Kidneybeans,18.49,61.69,27.08,19.96,10.0,5.41,153.53,1.57
Banana,242.73,108.77,272.02,23.61,73.82,5.76,93.17,46.26
Kidneybeans,18.41,59.72,25.74,20.6,17.82,5.55,122.63,1.35
Maize,149.97,67.99,53.25,21.86,59.65,6.43,108.73,4.57
Muskmelon,98.87,56.34,51.07,30.39,76.9,6.11,25.4,26.88
Grapes,55.1,47.92,107.86,21.76,70.15,5.76,51.15,17.89
Jute,34.77,37.56,50.6,18.45,63.31,7.67,145.61,2.39
Muskmelon,84.11,24.65,42.53,29.85,100.0,6.57,26.37,22.76
Muskmelon,96.7,55.57,55.12,24.13,92.47,6.49,23.68,26.96
Watermelon,82.1,52.19,65.81,29.03,93.48,6.07,53.82,36.48
Mango,151.57,105.26,133.54,33.94,55.2,5.14,93.18,8.86
Chickpea,49.04,80.98,73.34,18.22,10.0,8.51,61.7,2.18
Apple,162.48,50.43,41.19,23.76,97.97,5.71,83.11,32.96
Orange,127.37,73.15,72.51,25.16,83.88,7.37,104.37,16.58
Chickpea,36.56,82.27,82.44,18.82,10.41,7.01,103.77,2.22
Pigeonpeas,20.49,64.73,21.13,27.06,48.67,6.14,168.62,1.62
Rice,99.21,59.7,41.32,28.69,99.69,6.6,134.57,4.4
Coffee,130.3,81.86,103.1,31.1,47.73,5.75,152.28,1.5
Mango,177.42,120.74,159.77,36.45,52.73,5.16,108.26,10.41
Banana,207.98,82.78,311.9,24.05,63.42,5.67,122.01,48.64
Mango,179.83,92.04,126.0,30.75,46.06,5.87,83.34,10.43
Blackgram,16.18,71.58,12.74,29.44,76.64,7.07,57.03,1.12
Blackgram,15.21,43.76,19.3,29.65,73.0,7.81,55.32,1.11
Papaya,161.49,132.65,175.05,26.96,98.71,6.62,114.75,63.42
Mothbeans,21.53,58.31,16.68,28.28,65.5,7.11,43.63,0.99
Coconut,21.25,17.83,19.93,27.2,100.0,6.17,158.12,8.05
Muskmelon,76.26,62.2,50.55,23.37,100.0,6.72,21.01,28.31
Lentil,20.01,48.35,24.78,20.73,70.54,7.25,36.8,1.08
Lentil,24.49,66.97,22.3,25.55,61.36,7.04,47.05,1.19
Kidneybeans,16.4,81.24,22.98,19.57,21.19,5.52,71.99,1.19
Maize,148.14,64.67,53.97,17.79,72.95,5.85,93.27,4.92
Mothbeans,19.79,61.06,14.08,30.7,53.88,7.51,55.06,0.8
Jute,45.27,49.2,43.45,20.96,84.06,6.59,134.53,2.87
Rice,93.27,47.08,44.81,23.52,83.69,6.96,215.48,3.75
Maize,132.98,89.64,43.66,27.86,45.75,6.32,67.63,5.57
Jute,54.66,47.37,63.9,20.08,80.52,6.77,173.31,2.7
Muskmelon,88.38,60.87,59.44,26.26,100.0,6.57,28.8,27.96
Lentil,19.78,69.63,13.01,18.85,73.5,7.14,39.6,1.23
Pigeonpeas,20.85,89.55,21.64,27.43,52.67,5.61,210.92,1.69
Coconut,32.34,19.5,30.58,30.3,75.11,5.99,129.91,12.83
Maize,133.02,62.55,54.27,21.28,67.94,5.92,77.71,5.22
Blackgram,15.08,57.11,15.11,28.26,61.83,7.57,70.92,1.13
Coffee,147.01,103.86,86.42,23.59,56.79,7.15,229.17,1.42
Coconut,25.53,14.64,22.63,23.78,96.33,5.58,200.3,9.07
Grapes,117.86,64.8,78.34,22.68,94.59,6.3,71.85,22.8
Papaya,189.07,72.91,152.83,31.49,100.0,5.3,171.52,46.08
Mango,147.98,93.86,177.01,26.04,47.14,5.53,98.05,11.1
Mungbean,19.11,53.47,12.22,28.22,86.14,6.42,43.59,1.06
Jute,46.86,35.57,51.89,23.77,87.86,7.87,210.35,2.46
Lentil,17.12,75.03,19.26,24.74,57.16,6.91,50.26,1.26
Orange,124.41,71.26,75.87,22.39,64.25,7.33,88.52,16.69
Maize,157.87,59.95,49.32,18.97,59.14,6.48,99.52,6.02
Mango,164.87,114.39,132.07,29.91,60.33,4.9,70.77,10.18
Cotton,91.2,61.63,41.42,21.15,90.85,6.82,125.04,2.55
Orange,86.31,50.09,82.5,18.36,90.03,7.32,95.52,16.43
Rice,98.55,44.3,39.18,20.59,88.89,6.36,231.46,4.12
Pigeonpeas,23.46,69.57,18.19,25.96,60.13,5.91,118.98,1.25
Jute,53.99,48.1,64.32,32.16,88.2,6.72,206.33,3.13
Blackgram,16.65,73.47,14.31,27.52,79.15,7.56,58.55,1.19
Jute,54.23,33.44,70.09,23.95,100.0,7.07,186.81,2.44
Coffee,134.07,90.91,89.41,30.73,44.79,6.24,117.17,1.33
Banana,229.68,121.22,324.37,33.3,73.39,6.19,103.61,46.28
Pigeonpeas,20.84,55.73,19.75,29.2,48.12,5.43,178.77,1.59
Cotton,107.71,57.34,44.51,21.85,62.16,6.38,213.65,2.57
Cotton,78.18,58.62,56.31,26.08,75.06,7.17,148.25,2.75
Apple,115.62,56.39,71.64,17.55,87.85,6.06,79.59,31.67
Orange,102.98,64.38,81.25,23.34,92.71,6.91,92.63,17.86
Grapes,112.56,40.9,124.34,28.05,73.68,5.67,74.01,25.02
Pomegranate,85.66,48.86,54.23,28.72,100.0,6.1,112.01,17.97
Cotton,90.98,32.15,46.74,22.44,78.14,6.49,176.26,2.56
Maize,138.73,71.62,50.42,15.89,51.65,5.73,64.17,5.32
Banana,185.92,81.94,310.9,26.81,79.66,5.47,119.12,40.95
Coffee,118.85,80.71,91.32,26.05,67.96,6.48,206.61,1.35
Banana,254.65,112.08,412.16,23.87,87.58,5.55,121.08,55.94
Apple,91.04,47.67,51.87,23.87,87.19,6.52,148.9,30.17
Blackgram,17.1,53.82,22.62,35.64,63.15,6.89,54.85,1.31
Banana,245.77,99.97,273.25,28.38,70.75,6.24,114.33,46.26
Jute,45.41,40.12,66.64,25.64,88.48,6.92,219.63,2.54
Coconut,27.5,18.24,31.14,25.5,90.89,6.17,117.75,12.45
Cotton,97.18,50.7,53.41,21.08,76.75,6.51,208.41,2.31
Rice,101.53,44.62,41.97,26.85,84.91,7.07,201.11,3.78
Rice,103.31,41.36,38.98,20.37,95.36,5.84,188.08,3.72
Coffee,136.67,100.46,83.12,26.88,61.47,7.59,152.36,1.38
Maize,109.99,58.36,40.19,19.13,73.26,5.97,81.75,3.79
Muskmelon,72.53,45.0,46.5,29.08,92.47,5.61,19.6,25.62
Kidneybeans,23.11,61.22,16.42,12.27,13.6,6.6,124.55,1.16
Grapes,87.21,54.71,138.01,24.42,58.08,5.48,76.25,21.7
Jute,55.58,47.43,59.51,23.3,94.73,7.37,123.99,2.87
Banana,199.19,118.21,202.43,24.54,87.14,5.63,95.86,50.75
Coffee,121.01,67.66,88.75,23.14,56.19,6.8,139.44,1.51
Lentil,19.35,49.2,13.55,21.16,62.5,7.44,32.86,1.02
Papaya,230.86,120.83,177.58,41.44,96.97,6.61,85.07,53.25
Kidneybeans,22.42,56.15,24.25,17.94,22.29,5.86,96.59,1.33
Muskmelon,54.6,40.55,56.77,26.58,85.18,6.4,24.76,22.15
Pomegranate,72.18,48.57,52.38,21.57,82.13,7.07,101.0,13.89
Coconut,29.87,22.41,31.84,28.17,98.84,6.53,184.82,12.77
Orange,133.6,63.73,86.07,20.3,99.16,6.92,133.65,19.22
Cotton,81.1,54.13,57.75,22.85,84.28,7.24,202.55,2.68
Cotton,103.61,54.16,49.7,21.16,76.26,6.45,141.35,2.39
Apple,118.79,74.57,72.35,23.05,88.77,5.88,107.63,35.13
Mango,139.1,124.65,168.04,32.98,46.42,6.04,103.02,9.7
Cotton,124.69,35.51,64.91,23.58,84.25,6.05,189.9,2.74
Blackgram,17.17,64.76,20.61,31.58,55.56,7.18,77.57,1.15
Apple,113.92,74.97,50.91,22.08,74.39,5.5,93.69,25.89
Rice,90.31,39.32,44.67,22.73,100.0,6.92,295.06,2.98
Muskmelon,71.0,45.15,32.21,27.6,88.24,6.47,31.49,19.62
Pigeonpeas,20.79,70.89,20.01,28.27,45.38,5.79,190.27,1.65
Orange,120.6,58.32,103.14,22.85,96.2,6.95,102.2,20.55
Muskmelon,88.5,57.24,52.96,34.22,98.11,6.51,24.14,29.23
Papaya,189.45,150.3,172.4,35.41,100.0,6.42,139.87,55.64
Blackgram,18.16,66.84,18.23,31.62,74.22,7.85,49.33,1.0
Banana,166.82,97.63,287.21,24.24,76.87,7.47,112.83,40.09
Kidneybeans,22.5,67.89,19.22,25.11,12.83,5.58,105.59,1.32
Chickpea,53.08,67.49,75.23,22.67,16.9,8.29,73.03,2.6
Coconut,23.48,22.67,29.48,26.38,99.77,5.87,233.67,10.61
Watermelon,79.91,55.3,42.54,30.42,85.74,6.81,58.46,28.91
Muskmelon,53.16,45.58,50.64,24.84,86.45,6.69,22.46,20.73
Watermelon,77.6,54.17,48.44,21.73,88.87,6.42,53.31,37.45
Grapes,110.43,50.68,127.95,26.83,86.36,6.48,79.96,25.71
Kidneybeans,24.92,77.99,17.77,20.25,15.72,4.88,120.52,1.41
Maize,183.75,61.01,50.55,21.12,62.84,5.53,64.52,4.16
Watermelon,59.1,63.59,61.58,22.97,85.95,6.43,36.4,28.78
Mungbean,24.97,41.4,14.2,31.75,86.23,6.08,39.35,1.18
Muskmelon,83.04,40.34,57.32,23.04,76.31,6.64,32.59,25.4
Pigeonpeas,15.76,52.75,19.56,21.52,44.21,5.4,140.4,1.81
Blackgram,16.36,60.63,17.36,27.33,69.7,6.24,67.83,1.03
Maize,120.58,64.62,40.5,19.06,67.62,5.97,74.61,4.28
Watermelon,75.52,46.44,43.08,22.16,94.85,7.24,35.54,31.85
Banana,182.7,125.39,380.85,28.92,79.02,6.08,109.84,57.0
Maize,165.44,82.6,36.57,22.79,75.59,5.45,96.81,5.83
Lentil,16.69,53.99,18.3,23.81,57.2,6.58,44.86,1.27
Apple,114.39,49.04,49.72,21.83,100.0,6.43,108.97,23.58
Pomegranate,125.27,60.31,44.93,21.38,95.42,6.61,111.4,19.67
Jute,57.55,45.2,60.87,21.57,86.04,6.13,186.6,3.24
Blackgram,13.43,61.79,14.84,26.84,46.0,7.02,69.24,1.15
Banana,246.68,106.99,288.8,27.81,85.66,6.83,95.87,47.45
Apple,114.41,47.61,82.12,20.86,80.7,5.72,134.16,30.94
Coffee,117.52,86.62,91.28,26.86,58.87,7.33,158.91,1.37
Jute,51.5,45.2,75.25,26.32,78.92,7.0,145.81,2.98
Pomegranate,108.83,48.49,52.08,21.69,82.18,5.3,82.41,19.64
Kidneybeans,22.06,81.11,20.72,20.89,15.22,4.88,131.21,1.64
Banana,230.1,91.03,273.28,29.64,69.89,4.95,90.31,42.55
Blackgram,17.89,60.49,15.79,28.02,82.6,6.36,78.95,1.28
Papaya,135.67,94.81,183.72,31.67,88.44,6.55,133.15,51.6
Mothbeans,23.88,39.23,18.96,30.55,47.7,7.27,46.45,0.84
Chickpea,43.76,57.2,61.61,16.78,10.0,7.81,71.72,1.81
Lentil,18.07,72.05,16.71,28.14,67.02,7.09,55.39,1.14
Kidneybeans,17.65,83.25,17.04,18.65,24.71,5.04,91.72,1.3
Orange,135.01,57.55,75.01,26.72,79.54,6.51,148.64,21.91
Mango,136.41,126.71,142.9,30.65,32.99,6.01,101.47,11.31
Cotton,83.42,40.64,36.58,22.51,81.81,7.13,170.01,2.25
Pomegranate,99.84,47.6,48.0,19.84,82.51,6.12,118.12,18.73
Jute,46.76,42.3,65.97,26.37,64.14,7.14,163.5,3.41
Kidneybeans,23.62,77.5,21.71,23.16,34.5,6.2,35.82,1.06
Banana,161.21,114.23,327.47,24.25,79.54,6.23,108.0,53.12
Pomegranate,105.06,51.26,44.96,18.63,82.91,6.98,114.32,20.32
Pomegranate,84.75,35.48,43.17,22.15,67.25,5.77,59.5,16.81
Coffee,125.8,68.44,72.87,20.97,69.26,7.11,165.42,0.97
Grapes,117.63,50.15,116.86,24.46,89.77,5.79,60.05,22.43
Apple,107.48,63.03,74.41,23.98,87.81,5.61,95.99,30.53
Orange,131.03,54.33,75.05,24.25,100.0,7.22,90.42,16.08
Apple,113.84,50.62,68.14,19.15,83.99,5.14,120.77,25.61
Chickpea,38.54,65.55,91.83,18.13,10.0,6.9,62.48,1.97
Jute,47.62,48.74,68.63,26.7,91.07,6.98,266.38,2.84
Jute,35.77,44.89,57.48,21.59,80.94,6.72,177.73,2.79
Mothbeans,20.16,46.51,16.69,28.4,50.95,6.42,27.38,0.8
Grapes,129.83,72.87,120.17,17.76,76.84,5.92,79.25,23.07
Blackgram,18.26,69.62,17.95,29.1,70.18,6.69,64.89,1.12
Grapes,113.49,74.92,112.42,26.26,82.28,6.96,78.92,25.11
Cotton,97.52,54.73,46.83,27.6,77.33,6.12,222.57,2.14
Papaya,170.56,106.26,173.82,38.63,100.0,6.45,115.81,53.68
Apple,102.29,62.66,61.06,23.91,85.11,6.2,117.66,26.71
Mungbean,23.35,40.19,18.85,21.28,93.21,5.98,42.91,1.15
Pigeonpeas,19.83,83.67,17.52,27.97,50.31,5.17,177.59,1.5
Watermelon,91.98,54.95,44.74,26.29,75.11,6.93,38.59,36.16
Banana,139.84,100.98,317.91,22.07,80.63,5.38,105.74,40.7
Cotton,99.64,50.09,58.48,24.71,78.86,6.54,160.47,2.18
Orange,121.52,53.65,107.6,25.96,98.81,6.46,139.71,18.07
Coffee,93.59,79.35,83.93,24.69,40.24,6.86,167.27,1.19
Maize,116.26,54.06,47.46,18.9,66.99,6.75,88.29,4.68
Muskmelon,81.58,52.81,57.69,27.85,97.57,6.12,33.16,26.45
Muskmelon,99.22,47.96,53.75,27.43,100.0,6.25,23.7,26.46
Mango,173.7,92.14,151.55,31.63,49.02,6.27,96.7,10.74
Grapes,116.43,55.78,117.87,20.58,69.9,6.03,54.3,21.54
Lentil,19.76,76.9,16.41,22.78,71.46,7.4,31.23,1.13
Pomegranate,100.84,47.64,42.63,21.28,69.45,6.81,114.83,19.97
Rice,88.72,32.95,46.02,20.78,84.23,6.24,243.22,3.78
Grapes,148.2,69.06,106.16,18.69,67.82,5.38,79.16,26.35
Banana,210.75,107.72,373.56,26.5,84.85,6.0,134.13,50.41
Watermelon,85.91,34.61,49.66,31.86,96.97,6.39,38.5,29.58
Pomegranate,117.68,52.13,41.78,21.91,91.24,5.31,118.45,19.2
Jute,46.53,25.18,55.66,21.02,75.46,6.88,170.52,2.53
Lentil,21.16,63.63,17.68,25.67,80.7,7.75,40.55,1.06
Pigeonpeas,17.15,55.74,19.0,28.65,48.91,6.11,69.92,1.43
Orange,117.59,51.29,64.81,18.83,94.5,6.38,117.57,17.39
Mango,120.9,114.23,135.9,32.74,44.38,5.47,114.39,12.0
Lentil,17.02,76.63,17.77,23.21,71.28,7.22,57.27,1.21
Rice,100.94,38.34,40.73,24.07,85.5,6.87,233.28,3.29
Rice,101.12,48.44,43.29,26.15,70.8,6.29,172.3,4.29
Mothbeans,20.44,54.98,17.03,30.21,66.93,6.93,49.59,0.75
Muskmelon,94.17,38.86,45.93,24.91,89.29,6.34,19.95,25.94
Jute,51.34,36.51,61.12,17.85,82.23,6.61,232.18,3.07
Pomegranate,103.13,59.65,42.85,24.16,91.05,5.98,129.42,18.62
Grapes,102.81,60.64,141.77,24.52,73.7,6.43,79.2,27.9
Mango,135.88,102.19,119.27,30.44,52.49,6.11,111.46,9.42
Grapes,67.61,68.35,119.38,29.69,83.01,6.39,64.78,26.37
Rice,83.86,41.98,38.47,22.24,82.26,6.77,235.13,4.58
Kidneybeans,23.27,57.33,24.4,17.7,30.98,5.85,145.94,1.4
Orange,101.36,50.38,79.19,17.83,85.74,7.08,128.86,16.98
Rice,78.17,42.34,46.94,22.22,71.82,5.32,214.57,3.48
Watermelon,72.77,39.91,43.44,24.94,81.06,6.54,29.48,29.57
Chickpea,30.87,67.52,86.64,21.42,18.78,6.49,83.7,2.26
Kidneybeans,19.82,65.04,20.1,14.31,20.87,4.99,101.29,1.37
Rice,83.37,43.78,54.87,23.65,66.17,6.03,131.47,4.4
Mango,141.76,87.39,142.08,32.88,48.59,5.95,91.68,10.33
Mungbean,27.71,53.42,22.6,27.67,87.87,6.85,43.64,1.14
Muskmelon,88.4,50.4,38.36,28.41,68.76,6.66,25.23,27.72
Pomegranate,106.19,48.42,64.63,19.99,100.0,7.11,137.28,16.96
Chickpea,43.9,65.58,66.17,21.94,25.45,8.82,72.12,1.84
Pigeonpeas,18.6,72.97,17.77,29.24,49.43,5.63,125.59,1.47
Kidneybeans,19.19,56.9,21.36,17.35,23.69,6.41,74.35,1.27
Maize,120.78,63.89,50.3,22.76,75.48,6.34,94.69,4.89
Rice,103.08,56.72,48.21,27.81,94.3,6.09,169.7,3.91
Coffee,126.77,68.22,89.96,22.06,53.81,6.72,123.52,1.23
Pomegranate,71.47,60.15,44.75,19.46,100.0,6.69,112.74,18.64
Muskmelon,76.78,62.15,42.7,24.51,80.45,6.86,27.47,25.17
Pomegranate,77.57,60.31,37.01,26.97,100.0,6.2,66.92,19.19
Pigeonpeas,17.14,61.2,20.31,26.12,69.82,5.38,161.52,1.47
Muskmelon,82.67,38.06,50.99,29.4,89.34,6.74,23.66,25.34
Maize,130.1,55.94,57.2,22.13,61.53,6.43,78.52,4.95
Lentil,17.47,70.27,21.02,24.62,68.79,7.17,48.4,1.17
Chickpea,30.03,89.7,82.2,16.98,10.0,7.47,70.85,2.34
Lentil,15.14,59.68,12.76,26.06,66.71,6.73,36.76,0.98
Mango,122.47,108.83,143.42,34.29,45.19,5.37,68.48,9.75
Blackgram,18.57,60.05,20.54,27.78,54.39,6.33,65.34,1.17
Lentil,15.72,64.56,17.25,23.64,67.67,6.83,42.17,1.17
Jute,63.58,41.26,62.66,24.69,85.43,6.66,142.79,2.89
Banana,196.15,110.64,289.07,27.15,84.32,5.53,83.83,48.75
Banana,203.74,79.49,235.98,27.97,81.58,5.98,100.07,41.72
Watermelon,86.67,37.76,38.2,22.73,69.36,7.04,50.04,32.59
Apple,135.55,58.23,71.26,22.09,81.39,5.08,91.94,33.11
Jute,58.66,46.94,56.12,28.01,83.49,6.4,262.76,2.56
Orange,112.01,52.41,66.39,29.29,100.0,7.35,125.17,17.04
Muskmelon,72.66,50.12,48.22,27.21,100.0,6.44,27.86,18.3
Rice,82.17,50.71,49.88,23.75,75.04,6.62,209.49,4.57
Mothbeans,22.0,56.84,19.07,26.76,51.26,7.26,56.19,0.86
Mungbean,20.77,47.96,15.93,31.8,88.85,7.09,56.69,1.13
Papaya,141.61,163.65,139.94,33.79,95.73,7.62,157.57,53.57
Cotton,86.48,57.15,44.98,23.5,61.04,7.32,225.99,2.7
Rice,73.43,34.78,51.83,22.54,73.39,6.2,235.22,4.27
Orange,111.74,67.86,87.2,16.26,100.0,7.47,90.0,19.05
Lentil,19.96,60.53,22.14,25.03,52.93,7.0,45.73,1.3
Pomegranate,101.54,60.48,40.03,22.18,88.42,7.12,99.41,15.23
Mango,172.92,118.32,165.39,31.69,45.76,5.87,93.95,11.18
Lentil,19.07,67.11,16.81,22.2,45.07,7.18,43.91,1.13
Banana,199.22,89.81,286.27,26.47,82.65,5.8,88.29,46.36
Rice,98.35,38.82,54.02,24.95,100.0,6.61,150.43,3.63
Maize,128.24,83.86,62.93,27.5,76.22,5.94,129.88,5.71
Watermelon,87.57,50.71,41.65,26.28,100.0,6.26,63.26,34.6
Orange,112.79,54.22,94.61,24.14,91.06,7.22,122.64,22.83
Mango,138.67,82.03,136.62,39.03,51.97,6.45,114.79,10.3
Watermelon,79.05,49.95,60.24,30.46,70.28,6.42,54.06,39.09
Muskmelon,85.27,51.42,45.03,24.05,98.74,5.9,25.93,22.43
Grapes,126.28,54.9,128.92,23.27,80.52,5.72,65.01,19.52
Muskmelon,66.43,54.13,61.65,25.74,92.0,6.06,19.22,21.59
Grapes,128.59,78.6,87.03,18.13,84.17,5.51,84.27,22.73
Banana,160.73,115.54,270.42,23.37,90.98,5.52,113.46,45.34
Pomegranate,78.87,57.63,50.26,23.21,86.82,6.31,143.59,20.44
Papaya,146.21,92.51,162.79,35.67,88.1,6.49,134.63,49.31
Mango,197.03,93.38,141.76,30.0,64.53,5.44,100.92,10.39
Watermelon,75.16,50.75,46.09,30.29,79.49,5.95,44.85,28.54
Cotton,113.14,50.21,49.68,29.64,75.05,6.38,194.77,2.45
Apple,97.52,66.22,66.83,20.17,96.16,5.46,138.19,31.81
Maize,98.74,74.54,44.47,20.1,62.45,6.08,99.75,5.05
Chickpea,42.81,68.22,96.4,14.77,10.0,7.11,68.12,2.53
Banana,202.38,114.46,364.03,25.9,76.6,4.9,95.39,51.24
Orange,113.04,70.29,98.45,27.51,100.0,6.54,70.95,17.93
Mango,125.46,83.18,119.24,34.92,43.95,4.53,99.95,8.16
Banana,182.66,118.21,337.84,22.9,72.93,5.54,103.11,46.7
Apple,115.91,60.96,78.06,26.23,91.48,6.28,122.6,35.03
Coconut,24.79,17.32,31.62,23.96,99.11,5.61,140.62,9.86
Orange,111.52,60.37,85.99,29.27,95.32,7.38,109.74,18.56
Chickpea,49.05,79.91,74.68,20.76,26.86,7.57,61.55,2.16
Orange,156.84,68.11,73.48,21.56,93.34,6.85,109.75,15.47
Pomegranate,103.5,36.69,58.95,18.57,91.88,7.04,109.51,19.4
